,id,time,F_x,F_y,F_z,T_x,T_y,T_z
195,14,0,1,-2,57,-4,0,-1
196,14,1,-1,0,64,-9,-2,0
197,14,2,-1,1,66,-8,-2,-1
198,14,3,-2,2,64,-11,-6,-1
199,14,4,0,1,60,-6,-1,-1
200,14,5,-1,-1,56,-6,-3,0
201,14,6,0,-1,59,-4,-5,-1
202,14,7,1,-2,64,-7,-2,-1
203,14,8,-2,1,59,-8,-6,0
204,14,9,1,-2,63,-4,-1,0
205,14,10,-1,-1,47,-3,-2,0
206,14,11,1,-4,59,0,2,0
207,14,12,-1,-3,64,-4,-6,0
208,14,13,0,-2,60,-4,-1,0
209,14,14,0,-1,60,-6,0,-1
660,45,0,1,0,57,8,5,7
661,45,1,-1,0,54,11,6,8
662,45,2,-11,38,-364,207,62,4
663,45,3,-77,175,-1133,383,-14,-25
664,45,4,-90,142,-1130,523,-21,-36
665,45,5,-37,59,-127,22,25,33
666,45,6,-2,6,-53,86,18,3
667,45,7,4,2,-17,53,38,10
668,45,8,3,1,-15,53,30,7
669,45,9,3,2,-23,56,33,10
670,45,10,4,5,-36,61,38,12
671,45,11,2,5,-36,60,37,10
672,45,12,3,4,-27,59,34,10
673,45,13,2,2,-20,58,33,9
674,45,14,3,2,-21,59,32,9
